MT,MD,TM,T0,X0,SUN,RNT,VEL,PRE,FD,SCA,WA,EVA,SM,SE,  fl,  77,  82,  87,  92, 151, 156, 161, 202, 207, 230, 253, 330, 335, 340, 345, 404, 409, 414, 455, 460, 668, 669, 671, 673, 674, 676, 678, 668, 668,
11, 1,0.1000E+01,0.4900E+01,0.4825E-02,0.0000E+00,0.3947E+02,0.8000E+00,0.1000E+01,0.0000E+00,0.0000E+00,0.1003E+01,0.1484E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.4815E+01,0.5270E+01,0.5717E+01,0.6132E+01,0.6504E+01,0.6826E+01,0.7095E+01,0.7361E+01,0.7560E+01,0.7711E+01,0.7804E+01,0.7873E+01,0.7919E+01,0.7949E+01,0.7968E+01,0.7985E+01,0.7993E+01,0.7997E+01,0.7999E+01,0.8000E+01,0.1000E+02,0.7623E+01,0.7623E+01,0.7623E+01,0.7623E+01,0.7623E+01,0.7623E+01,0.0000E+00,0.0000E+00,
11, 1,0.2000E+01,0.5000E+01,0.4825E-02,0.0000E+00,0.3952E+02,0.8500E+00,0.1000E+01,0.0000E+00,0.0000E+00,0.1989E+01,0.1265E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.4538E+01,0.4910E+01,0.5265E+01,0.5600E+01,0.5913E+01,0.6201E+01,0.6463E+01,0.6754E+01,0.7004E+01,0.7227E+01,0.7389E+01,0.7531E+01,0.7644E+01,0.7732E+01,0.7800E+01,0.7876E+01,0.7926E+01,0.7956E+01,0.7983E+01,0.7995E+01,0.1000E+02,0.7104E+01,0.7104E+01,0.7104E+01,0.7104E+01,0.7104E+01,0.7104E+01,0.0000E+00,0.0000E+00,
11, 1,0.3000E+01,0.4700E+01,0.4950E-02,0.0000E+00,0.3905E+02,0.6000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.4448E+01,0.4760E+01,0.5058E+01,0.5342E+01,0.5611E+01,0.5865E+01,0.6103E+01,0.6377E+01,0.6624E+01,0.6857E+01,0.7038E+01,0.7206E+01,0.7350E+01,0.7471E+01,0.7572E+01,0.7700E+01,0.7794E+01,0.7861E+01,0.7933E+01,0.7975E+01,0.1000E+02,0.6733E+01,0.6733E+01,0.6733E+01,0.6732E+01,0.6732E+01,0.6732E+01,0.0000E+00,0.0000E+00,
11, 1,0.4000E+01,0.4500E+01,0.5012E-02,0.0000E+00,0.3879E+02,0.4000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.4196E+01,0.4501E+01,0.4793E+01,0.5070E+01,0.5333E+01,0.5581E+01,0.5814E+01,0.6084E+01,0.6330E+01,0.6567E+01,0.6754E+01,0.6933E+01,0.7092E+01,0.7230E+01,0.7349E+01,0.7511E+01,0.7638E+01,0.7737E+01,0.7857E+01,0.7937E+01,0.1000E+02,0.6442E+01,0.6442E+01,0.6442E+01,0.6442E+01,0.6442E+01,0.6442E+01,0.0000E+00,0.0000E+00,
11, 1,0.5000E+01,0.4700E+01,0.4888E-02,0.0000E+00,0.3920E+02,0.5000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.4063E+01,0.4334E+01,0.4599E+01,0.4856E+01,0.5103E+01,0.5340E+01,0.5565E+01,0.5829E+01,0.6074E+01,0.6313E+01,0.6505E+01,0.6691E+01,0.6859E+01,0.7009E+01,0.7142E+01,0.7327E+01,0.7480E+01,0.7604E+01,0.7767E+01,0.7885E+01,0.1000E+02,0.6189E+01,0.6189E+01,0.6189E+01,0.6188E+01,0.6188E+01,0.6188E+01,0.0000E+00,0.0000E+00,
11, 1,0.6000E+01,0.4500E+01,0.4825E-02,0.0000E+00,0.4564E+02,0.5500E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.3709E+01,0.4013E+01,0.4303E+01,0.4578E+01,0.4839E+01,0.5086E+01,0.5318E+01,0.5589E+01,0.5839E+01,0.6083E+01,0.6279E+01,0.6472E+01,0.6648E+01,0.6806E+01,0.6949E+01,0.7152E+01,0.7325E+01,0.7470E+01,0.7670E+01,0.7823E+01,0.1000E+02,0.5956E+01,0.5956E+01,0.5956E+01,0.5955E+01,0.5955E+01,0.5955E+01,0.0000E+00,0.0000E+00,
11, 1,0.7000E+01,0.3900E+01,0.4888E-02,0.1944E+02,0.4508E+02,0.6000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.3859E+01,0.4098E+01,0.4328E+01,0.4550E+01,0.4766E+01,0.4975E+01,0.5178E+01,0.5423E+01,0.5655E+01,0.5889E+01,0.6082E+01,0.6275E+01,0.6453E+01,0.6618E+01,0.6768E+01,0.6986E+01,0.7175E+01,0.7338E+01,0.7571E+01,0.7756E+01,0.1000E+02,0.5769E+01,0.5769E+01,0.5769E+01,0.5768E+01,0.5768E+01,0.5768E+01,0.0000E+00,0.0000E+00,
11, 1,0.8000E+01,0.4000E+01,0.5012E-02,0.8889E+02,0.5108E+02,0.8000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.5339E+01,0.5284E+01,0.5257E+01,0.5258E+01,0.5288E+01,0.5343E+01,0.5420E+01,0.5542E+01,0.5684E+01,0.5848E+01,0.5999E+01,0.6162E+01,0.6321E+01,0.6475E+01,0.6620E+01,0.6841E+01,0.7038E+01,0.7213E+01,0.7472E+01,0.7684E+01,0.1000E+02,0.5768E+01,0.5768E+01,0.5768E+01,0.5768E+01,0.5768E+01,0.5768E+01,0.0000E+00,0.0000E+00,
11, 1,0.9000E+01,0.5500E+01,0.4950E-02,0.1944E+03,0.5239E+02,0.2500E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.8905E+01,0.8260E+01,0.7714E+01,0.7263E+01,0.6905E+01,0.6629E+01,0.6428E+01,0.6269E+01,0.6191E+01,0.6177E+01,0.6208E+01,0.6274E+01,0.6363E+01,0.6466E+01,0.6576E+01,0.6762E+01,0.6944E+01,0.7115E+01,0.7383E+01,0.7614E+01,0.1000E+02,0.6198E+01,0.6198E+01,0.6198E+01,0.6198E+01,0.6198E+01,0.6198E+01,0.0000E+00,0.0000E+00,
11, 1,0.1000E+02,0.7000E+01,0.4265E-02,0.3833E+03,0.5587E+02,0.6000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.1495E+02,0.1349E+02,0.1219E+02,0.1106E+02,0.1010E+02,0.9294E+01,0.8632E+01,0.7987E+01,0.7512E+01,0.7162E+01,0.6956E+01,0.6821E+01,0.6753E+01,0.6736E+01,0.6755E+01,0.6839E+01,0.6956E+01,0.7088E+01,0.7328E+01,0.7555E+01,0.1000E+02,0.7371E+01,0.7371E+01,0.7371E+01,0.7371E+01,0.7371E+01,0.7371E+01,0.0000E+00,0.0000E+00,
