
2017-01-31 00:10:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:13:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:16:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:19:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:22:00,	normal, 	0,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:25:00,	random, 	1,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:28:00,	normal, 	0,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:31:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:34:00,	random, 	1,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:37:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:40:00,	random, 	1,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:43:00,	normal, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:46:00,	normal, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:49:00,	random, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:52:00,	random, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.046[kg/m^2]
2017-01-31 00:55:00,	normal, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.111[kg/m^2]
2017-01-31 00:58:00,	normal, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.183[kg/m^2]
2017-01-31 01:01:00,	normal, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.259[kg/m^2]
2017-01-31 01:04:00,	normal, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.336[kg/m^2]
2017-01-31 01:07:00,	normal, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.414[kg/m^2]
2017-01-31 01:10:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.492[kg/m^2]
2017-01-31 01:13:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.570[kg/m^2]
2017-01-31 01:16:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.648[kg/m^2]
2017-01-31 01:19:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.726[kg/m^2]
2017-01-31 01:22:00,	random, 	1,	 -4.9℃	+0.08[kg/m^2]  -> 0.804[kg/m^2]
2017-01-31 01:25:00,	normal, 	0,	 -4.9℃	+0.08[kg/m^2]  -> 0.852[kg/m^2]
2017-01-31 01:28:00,	normal, 	0,	 -4.9℃	+0.08[kg/m^2]  -> 0.918[kg/m^2]
2017-01-31 01:31:00,	normal, 	0,	 -5.8℃	+0.08[kg/m^2]  -> 0.991[kg/m^2]
2017-01-31 01:34:00,	random, 	1,	 -5.8℃	+0.08[kg/m^2]  -> 1.067[kg/m^2]
2017-01-31 01:37:00,	normal, 	0,	 -5.8℃	+0.08[kg/m^2]  -> 1.114[kg/m^2]
2017-01-31 01:40:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.179[kg/m^2]
2017-01-31 01:43:00,	random, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.252[kg/m^2]
2017-01-31 01:46:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.328[kg/m^2]
2017-01-31 01:49:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.405[kg/m^2]
2017-01-31 01:52:00,	normal, 	0,	 -5.9℃	+0.08[kg/m^2]  -> 1.482[kg/m^2]
2017-01-31 01:55:00,	normal, 	0,	 -5.9℃	+0.08[kg/m^2]  -> 1.560[kg/m^2]
2017-01-31 01:58:00,	normal, 	0,	 -5.9℃	+0.08[kg/m^2]  -> 1.638[kg/m^2]
2017-01-31 02:01:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.716[kg/m^2]
2017-01-31 02:04:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.794[kg/m^2]
2017-01-31 02:07:00,	random, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.872[kg/m^2]
2017-01-31 02:10:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.950[kg/m^2]
2017-01-31 02:13:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 2.028[kg/m^2]
