
2017-01-31 00:10:00,	random, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:13:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:16:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:19:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:22:00,	normal, 	0,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:25:00,	normal, 	0,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:28:00,	normal, 	0,	 -4.4℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:31:00,	random, 	1,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:34:00,	normal, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:37:00,	random, 	0,	 -4.2℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:40:00,	random, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:43:00,	normal, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:46:00,	normal, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:49:00,	normal, 	0,	 -4.3℃	+0.00[kg/m^2]  -> 0.000[kg/m^2]
2017-01-31 00:52:00,	normal, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.057[kg/m^2]
2017-01-31 00:55:00,	normal, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.127[kg/m^2]
2017-01-31 00:58:00,	normal, 	0,	 -4.3℃	+0.08[kg/m^2]  -> 0.201[kg/m^2]
2017-01-31 01:01:00,	normal, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.278[kg/m^2]
2017-01-31 01:04:00,	random, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.355[kg/m^2]
2017-01-31 01:07:00,	normal, 	0,	 -4.1℃	+0.08[kg/m^2]  -> 0.433[kg/m^2]
2017-01-31 01:10:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.511[kg/m^2]
2017-01-31 01:13:00,	random, 	1,	 -4.2℃	+0.08[kg/m^2]  -> 0.589[kg/m^2]
2017-01-31 01:16:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.637[kg/m^2]
2017-01-31 01:19:00,	normal, 	0,	 -4.2℃	+0.08[kg/m^2]  -> 0.703[kg/m^2]
2017-01-31 01:22:00,	normal, 	0,	 -4.9℃	+0.08[kg/m^2]  -> 0.776[kg/m^2]
2017-01-31 01:25:00,	normal, 	0,	 -4.9℃	+0.08[kg/m^2]  -> 0.852[kg/m^2]
2017-01-31 01:28:00,	normal, 	0,	 -4.9℃	+0.08[kg/m^2]  -> 0.929[kg/m^2]
2017-01-31 01:31:00,	normal, 	0,	 -5.8℃	+0.08[kg/m^2]  -> 1.006[kg/m^2]
2017-01-31 01:34:00,	normal, 	0,	 -5.8℃	+0.08[kg/m^2]  -> 1.084[kg/m^2]
2017-01-31 01:37:00,	normal, 	0,	 -5.8℃	+0.08[kg/m^2]  -> 1.162[kg/m^2]
2017-01-31 01:40:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.240[kg/m^2]
2017-01-31 01:43:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.318[kg/m^2]
2017-01-31 01:46:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.396[kg/m^2]
2017-01-31 01:49:00,	normal, 	0,	 -6.0℃	+0.08[kg/m^2]  -> 1.474[kg/m^2]
2017-01-31 01:52:00,	random, 	1,	 -5.9℃	+0.08[kg/m^2]  -> 1.552[kg/m^2]
2017-01-31 01:55:00,	normal, 	0,	 -5.9℃	+0.08[kg/m^2]  -> 1.601[kg/m^2]
2017-01-31 01:58:00,	normal, 	0,	 -5.9℃	+0.08[kg/m^2]  -> 1.666[kg/m^2]
2017-01-31 02:01:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.739[kg/m^2]
2017-01-31 02:04:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.815[kg/m^2]
2017-01-31 02:07:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 1.892[kg/m^2]
2017-01-31 02:10:00,	random, 	1,	 -6.2℃	+0.08[kg/m^2]  -> 1.970[kg/m^2]
2017-01-31 02:13:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 2.018[kg/m^2]
