date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 10:10:30, -4.8, 0.0, 0.0, off
2017-01-28 10:11:00, -4.8, 0.0, 0.0, off
2017-01-28 10:11:30, -4.8, 0.0, 0.0, off
2017-01-28 10:12:00, -4.8, 0.0, 0.0, off
2017-01-28 10:12:30, -4.8, 0.0, 0.0, off
2017-01-28 10:13:00, -4.8, 0.0, 0.0, off
2017-01-28 10:13:30, -4.8, 0.0, 0.0, off
2017-01-28 10:14:00, -4.8, 0.0, 0.0, off
2017-01-28 10:14:30, -4.8, 0.0, 0.0, off
2017-01-28 10:15:00, -4.8, 0.0, 0.0, off
2017-01-28 10:15:30, -4.8, 0.0, 0.0, off
2017-01-28 10:16:00, -4.8, 0.0, 0.0, off
2017-01-28 10:16:30, -4.8, 0.0, 0.0, off
2017-01-28 10:17:00, -4.8, 0.0, 0.0, off
2017-01-28 10:17:30, -4.8, 0.0, 0.0, off
2017-01-28 10:18:00, -4.8, 0.0, 0.0, off
2017-01-28 10:18:30, -4.8, 0.0, 0.0, off
2017-01-28 10:19:00, -4.8, 0.0, 0.0, off
2017-01-28 10:19:30, -4.8, 0.0, 0.0, off
2017-01-28 10:20:00, -4.8, 0.0, 0.0, off
2017-01-28 10:20:30, -4.9, 0.0, 0.0, off
2017-01-28 10:21:00, -4.9, 0.0, 0.0, off
2017-01-28 10:21:30, -4.9, 0.0, 0.0, off
2017-01-28 10:22:00, -4.9, 0.0, 0.0, off
2017-01-28 10:22:30, -4.9, 0.0, 0.0, off
2017-01-28 10:23:00, -4.9, 0.0, 0.0, off
2017-01-28 10:23:30, -4.9, 0.0, 0.0, off
2017-01-28 10:24:00, -4.9, 0.0, 0.0, off
2017-01-28 10:24:30, -4.9, 0.0, 0.0, off
2017-01-28 10:25:00, -4.9, 0.0, 0.0, off
2017-01-28 10:25:30, -4.9, 0.0, 0.0, off
2017-01-28 10:26:00, -4.9, 0.0, 0.0, off
2017-01-28 10:26:30, -4.9, 0.0, 0.0, off
2017-01-28 10:27:00, -4.9, 0.0, 0.0, off
2017-01-28 10:27:30, -4.9, 0.0, 0.0, off
2017-01-28 10:28:00, -4.9, 0.0, 0.0, off
2017-01-28 10:28:30, -4.9, 0.0, 0.0, off
2017-01-28 10:29:00, -4.9, 0.0, 0.0, off
2017-01-28 10:29:30, -4.9, 0.0, 0.0, off
2017-01-28 10:30:00, -4.9, 0.0, 0.0, off
2017-01-28 10:30:30, -4.9, 0.004, 0.0018864486135, off
2017-01-28 10:31:00, -4.9, 0.004, 0.00381704963832, off
2017-01-28 10:31:30, -4.9, 0.004, 0.00577531408269, off
