year, M, D, H, min, temp, vaporP, Wspeed, sun,  pre,  cloud
2017, 1, 28, 10, 10, -4.8, 3.5,   2.7,    0.47, 0.00, 10
2017, 1, 28, 10, 20, -4.9, 3.5,   3.0,    0.47, 0.00, 10
2017, 1, 28, 10, 30, -4.9, 3.5,   2.6,    0.47, 0.04, 10
2017, 1, 28, 10, 40, -5.0, 3.5,   2.0,    0.47, 0.04, 10
2017, 1, 28, 10, 50, -4.9, 3.5,   1.6,    0.47, 0.04, 10
2017, 1, 28, 11, 00, -4.8, 3.5,   2.3,    0.54, 0.04, 10
2017, 1, 28, 11, 10, -4.6, 3.5,   2.5,    0.54, 0.04, 10
2017, 1, 28, 11, 20, -4.6, 3.5,   2.1,    0.54, 0.04, 10
2017, 1, 28, 11, 30, -4.4, 3.5,   2.4,    0.54, 0.04, 10
2017, 1, 28, 11, 40, -4.6, 3.5,   3.1,    0.54, 0.04, 10
2017, 1, 28, 11, 50, -4.5, 3.5,   1.8,    0.54, 0.04, 10
2017, 1, 28, 12, 00, -4.3, 3.3,   3.7,    0.69, 0.04, 10
2017, 1, 28, 12, 10, -4.3, 3.3,   3.9,    0.69, 0.04, 10
2017, 1, 28, 12, 20, -4.0, 3.3,   3.8,    0.69, 0.04, 10
2017, 1, 28, 12, 30, -4.1, 3.3,   2.6,    0.69, 0.04, 10
2017, 1, 28, 12, 40, -4.0, 3.3,   4.3,    0.69, 0.04, 10
2017, 1, 28, 12, 50, -4.1, 3.3,   4.5,    0.69, 0.04, 10
2017, 1, 28, 13, 00, -4.2, 3.0,   4.2,    0.68, 0.04, 10
2017, 1, 28, 13, 10, -4.2, 3.0,   3.9,    0.68, 0.04, 10
2017, 1, 28, 13, 20, -4.2, 3.0,   4.6,    0.68, 0.04, 10
2017, 1, 28, 13, 30, -4.2, 3.0,   2.4,    0.68, 0.04, 10
2017, 1, 28, 13, 40, -4.2, 3.0,   2.8,    0.68, 0.04, 10
2017, 1, 28, 13, 50, -4.2, 3.0,   4.8,    0.68, 0.04, 10
