year, M, D, H, min, temp, vaporP, W peed,  un,  pre, cloud
2016, 12, 10, 0,  00, -0.4, 5.6,   2.6,    0.00, 0.35, 10
2016, 12, 10, 0,  10, -1.3, 4.0,   1.2,    0.00, 0.35, 9
2016, 12, 10, 0,  20, -1.5, 4.0,   1.2,    0.00, 0.35, 9
2016, 12, 10, 0,  30, -1.6, 4.0,   1.6,    0.00, 0.35, 9
2016, 12, 10, 0,  40, -1.5, 4.0,   1.7,    0.00, 0.35, 9
2016, 12, 10, 0,  50, -1.6, 4.0,   1.0,    0.00, 0.35, 9
2016, 12, 10, 1,  00, -1.6, 4.0,   0.5,    0.00, 0.35, 8
2016, 12, 10, 1,  10, -1.4, 4.0,   1.1,    0.00, 0.35, 8
2016, 12, 10, 1,  20, -1.4, 4.0,   0.7,    0.00, 0.35, 8
2016, 12, 10, 1,  30, -1.6, 4.0,   0.7,    0.00, 0.35, 8
2016, 12, 10, 1,  40, -1.8, 4.0,   0.7,    0.00, 0.35, 8
2016, 12, 10, 1,  50, -1.8, 4.0,   0.4,    0.00, 0.35, 8
2016, 12, 10, 2,  00, -2.0, 4.2,   0.6,    0.00, 0.35, 8
2016, 12, 10, 2,  10, -1.8, 4.2,   1.0,    0.00, 0.35, 8
2016, 12, 10, 2,  20, -1.7, 4.2,   1.0,    0.00, 0.35, 8
2016, 12, 10, 2,  30, -1.7, 4.2,   0.7,    0.00, 0.35, 8
2016, 12, 10, 2,  40, -2.3, 4.2,   0.3,    0.00, 0.35, 8
2016, 12, 10, 2,  50, -2.2, 4.2,   0.5,    0.00, 0.35, 8
2016, 12, 10, 3,  00, -2.0, 4.1,   0.8,    0.00, 0.35, 8
2016, 12, 10, 3,  10, -2.1, 4.1,   1.0,    0.00, 0.35, 8
2016, 12, 10, 3,  20, -2.0, 4.1,   1.3,    0.00, 0.35, 8
2016, 12, 10, 3,  30, -2.2, 4.1,   0.2,    0.00, 0.35, 8
2016, 12, 10, 3,  40, -2.3, 4.1,   0.4,    0.00, 0.35, 8
2016, 12, 10, 3,  50, -2.3, 4.1,   0.5,    0.00, 0.35, 8
2016, 12, 10, 4,  00, -2.2, 4.3,   0.9,    0.00, 0.35, 9
2016, 12, 10, 4,  10, -2.3, 4.3,   1.1,    0.00, 0.35, 9
2016, 12, 10, 4,  20, -1.9, 4.3,   0.9,    0.00, 0.35, 9
2016, 12, 10, 4,  30, -2.4, 4.3,   1.0,    0.00, 0.35, 9
2016, 12, 10, 4,  40, -2.0, 4.3,   1.1,    0.00, 0.35, 9
2016, 12, 10, 4,  50, -2.0, 4.3,   2.7,    0.00, 0.35, 9
2016, 12, 10, 5,  00, -2.1, 4.2,   2.3,    0.00, 0.35, 9
2016, 12, 10, 5,  10, -2.2, 4.2,   1.7,    0.00, 0.35, 9
2016, 12, 10, 5,  20, -2.2, 4.2,   0.6,    0.00, 0.35, 9
2016, 12, 10, 5,  30, -2.1, 4.2,   0.4,    0.00, 0.35, 9
2016, 12, 10, 5,  40, -1.9, 4.2,   0.5,    0.00, 0.35, 9
