date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-09 00:10:00, n, 0,    0.3,  -1.3,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 00:13:00, n, 0,    0.3,  -1.3,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 00:16:00, n, 1,   -0.3,  -1.3,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-09 00:19:00, n, 0,    0.3,  -1.3,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 00:22:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 00:25:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 00:28:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 00:31:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 00:34:00, n, 1,   -0.3,  -1.6,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 00:37:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 00:40:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 00:43:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 00:46:00, n, 0,    0.3,  -1.5,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 00:49:00, n, 1,   -0.3,  -1.5,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-09 00:52:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 00:55:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 00:58:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 01:01:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 01:04:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 01:07:00, n, 1,   -0.3,  -1.6,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 01:10:00, n, 0,    0.3,  -1.4,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 01:13:00, n, 0,    0.3,  -1.4,	0.000,  0.00, 68, +0.00 -> 0.000
