date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-01 00:10:00, n, 1,   -0.3,   0.0,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-01 00:13:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-01 00:16:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-01 00:19:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-01 00:22:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-01 00:25:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-01 00:28:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 61, +0.00 -> 0.000
2016-12-01 00:31:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 59, +0.00 -> 0.000
2016-12-01 00:34:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 58, +0.00 -> 0.000
2016-12-01 00:37:00, n, 0, 0.0006,   0.0,	0.000,  0.00, 56, +0.00 -> 0.000
2016-12-01 00:40:00, n, 0, 0.0006,   0.1,	0.000,  0.00, 54, +0.00 -> 0.000
2016-12-01 00:43:00, n, 0, 0.0006,   0.1,	0.000,  0.00, 53, +0.00 -> 0.000
2016-12-01 00:46:00, n, 0, 0.0006,   0.1,	0.000,  0.00, 52, +0.00 -> 0.000
2016-12-01 00:49:00, n, 0, 0.0006,   0.1,	0.000,  0.00, 50, +0.00 -> 0.000
2016-12-01 00:52:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 49, +0.00 -> 0.000
2016-12-01 00:55:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 48, +0.00 -> 0.000
2016-12-01 00:58:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 46, +0.00 -> 0.000
2016-12-01 01:01:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 45, +0.00 -> 0.000
2016-12-01 01:04:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 01:07:00, r, 0, 0.0006,   0.3,	0.000,  0.00, 43, +0.00 -> 0.000
2016-12-01 01:10:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 41, +0.00 -> 0.000
2016-12-01 01:13:00, n, 1,   -0.3,   0.3,	0.000,  3.00, 40, +0.00 -> 0.000
2016-12-01 01:16:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 49, +0.00 -> 0.000
2016-12-01 01:19:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 48, +0.00 -> 0.000
2016-12-01 01:22:00, n, 1,   -0.3,   0.3,	0.000,  3.00, 47, +0.00 -> 0.000
2016-12-01 01:25:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 56, +0.00 -> 0.000
2016-12-01 01:28:00, n, 0, 0.0006,   0.3,	0.000,  0.00, 54, +0.00 -> 0.000
2016-12-01 01:31:00, n, 0, 0.0006,   0.5,	0.000,  0.00, 53, +0.00 -> 0.000
2016-12-01 01:34:00, n, 0, 0.0006,   0.5,	0.000,  0.00, 51, +0.00 -> 0.000
2016-12-01 01:37:00, n, 0, 0.0006,   0.5,	0.000,  0.00, 50, +0.00 -> 0.000
2016-12-01 01:40:00, n, 0, 0.0006,   0.9,	0.000,  0.00, 49, +0.00 -> 0.000
2016-12-01 01:43:00, n, 1,   -0.3,   0.9,	0.000,  3.00, 47, +0.00 -> 0.000
2016-12-01 01:46:00, n, 1,   -0.3,   0.9,	0.000,  6.00, 56, +0.00 -> 0.000
2016-12-01 01:49:00, n, 0, 0.0006,   0.9,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-01 01:52:00, n, 0, 0.0006,   1.1,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-01 01:55:00, n, 0, 0.0006,   1.1,	0.000,  0.00, 62, +0.00 -> 0.000
2016-12-01 01:58:00, n, 0, 0.0006,   1.1,	0.000,  0.00, 60, +0.00 -> 0.000
2016-12-01 02:01:00, n, 0, 0.0006,   1.2,	0.000,  0.00, 59, +0.00 -> 0.000
2016-12-01 02:04:00, n, 0, 0.0006,   1.2,	0.000,  0.00, 57, +0.00 -> 0.000
2016-12-01 02:07:00, n, 0, 0.0006,   1.2,	0.000,  0.00, 56, +0.00 -> 0.000
2016-12-01 02:10:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 54, +0.00 -> 0.000
2016-12-01 02:13:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 52, +0.00 -> 0.000
2016-12-01 02:16:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 51, +0.00 -> 0.000
2016-12-01 02:19:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 49, +0.00 -> 0.000
2016-12-01 02:22:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 48, +0.00 -> 0.000
2016-12-01 02:25:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 46, +0.00 -> 0.000
2016-12-01 02:28:00, n, 0, 0.0006,   1.3,	0.000,  0.00, 45, +0.00 -> 0.000
2016-12-01 02:31:00, n, 0, 0.0006,   1.5,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 02:34:00, n, 1,   -0.3,   1.5,	0.000,  3.00, 42, +0.00 -> 0.000
